filename,label
train/Image_1.jpg,SOUTHERN DOGFACE
train/Image_2.jpg,ADONIS
train/Image_3.jpg,BROWN SIPROETA
train/Image_4.jpg,MONARCH
train/Image_5.jpg,GREEN CELLED CATTLEHEART
train/Image_6.jpg,CAIRNS BIRDWING
train/Image_7.jpg,GREEN CELLED CATTLEHEART
train/Image_8.jpg,EASTERN DAPPLE WHITE
train/Image_9.jpg,BROWN SIPROETA
train/Image_10.jpg,RED POSTMAN
train/Image_11.jpg,MANGROVE SKIPPER
train/Image_12.jpg,BLACK HAIRSTREAK
train/Image_13.jpg,CABBAGE WHITE
train/Image_14.jpg,RED ADMIRAL
train/Image_15.jpg,PAINTED LADY
train/Image_16.jpg,MANGROVE SKIPPER
train/Image_17.jpg,PAPER KITE
train/Image_18.jpg,SOOTYWING
train/Image_19.jpg,PINE WHITE
train/Image_20.jpg,PEACOCK
train/Image_21.jpg,CHECQUERED SKIPPER
train/Image_22.jpg,JULIA
train/Image_23.jpg,COMMON WOOD-NYMPH
train/Image_24.jpg,BLUE MORPHO
train/Image_25.jpg,CLOUDED SULPHUR
train/Image_26.jpg,STRAITED QUEEN
train/Image_27.jpg,ORANGE OAKLEAF
train/Image_28.jpg,PURPLISH COPPER
train/Image_29.jpg,CLOUDED SULPHUR
train/Image_30.jpg,ATALA
train/Image_31.jpg,IPHICLUS SISTER
train/Image_32.jpg,CAIRNS BIRDWING
train/Image_33.jpg,CAIRNS BIRDWING
train/Image_34.jpg,BLACK HAIRSTREAK
train/Image_35.jpg,DANAID EGGFLY
train/Image_36.jpg,PAINTED LADY
train/Image_37.jpg,LARGE MARBLE
train/Image_38.jpg,DANAID EGGFLY
train/Image_39.jpg,PIPEVINE SWALLOW
train/Image_40.jpg,BLUE SPOTTED CROW
train/Image_41.jpg,LARGE MARBLE
train/Image_42.jpg,EASTERN DAPPLE WHITE
train/Image_43.jpg,LARGE MARBLE
train/Image_44.jpg,PAINTED LADY
train/Image_45.jpg,RED CRACKER
train/Image_46.jpg,QUESTION MARK
train/Image_47.jpg,CRIMSON PATCH
train/Image_48.jpg,BANDED PEACOCK
train/Image_49.jpg,CHECQUERED SKIPPER
train/Image_50.jpg,DANAID EGGFLY
train/Image_51.jpg,RED POSTMAN
train/Image_52.jpg,COMMON WOOD-NYMPH
train/Image_53.jpg,SCARCE SWALLOW
train/Image_54.jpg,DANAID EGGFLY
train/Image_55.jpg,ORANGE OAKLEAF
train/Image_56.jpg,COPPER TAIL
train/Image_57.jpg,GREAT JAY
train/Image_58.jpg,ORANGE OAKLEAF
train/Image_59.jpg,SCARCE SWALLOW
train/Image_60.jpg,QUESTION MARK
train/Image_61.jpg,INDRA SWALLOW
train/Image_62.jpg,BLUE SPOTTED CROW
train/Image_63.jpg,VICEROY
train/Image_64.jpg,MALACHITE
train/Image_65.jpg,IPHICLUS SISTER
train/Image_66.jpg,APPOLLO
train/Image_67.jpg,MANGROVE SKIPPER
train/Image_68.jpg,RED ADMIRAL
train/Image_69.jpg,TWO BARRED FLASHER
train/Image_70.jpg,ORANGE OAKLEAF
train/Image_71.jpg,MONARCH
train/Image_72.jpg,ATALA
train/Image_73.jpg,RED CRACKER
train/Image_74.jpg,MOURNING CLOAK
train/Image_75.jpg,PAINTED LADY
train/Image_76.jpg,PAPER KITE
train/Image_77.jpg,QUESTION MARK
train/Image_78.jpg,TWO BARRED FLASHER
train/Image_79.jpg,ADONIS
train/Image_80.jpg,SOOTYWING
train/Image_81.jpg,TROPICAL LEAFWING
train/Image_82.jpg,GREEN CELLED CATTLEHEART
train/Image_83.jpg,INDRA SWALLOW
train/Image_84.jpg,PAINTED LADY
train/Image_85.jpg,QUESTION MARK
train/Image_86.jpg,APPOLLO
train/Image_87.jpg,GREEN CELLED CATTLEHEART
train/Image_88.jpg,BLUE SPOTTED CROW
train/Image_89.jpg,PAPER KITE
train/Image_90.jpg,POPINJAY
train/Image_91.jpg,PIPEVINE SWALLOW
train/Image_92.jpg,ORANGE TIP
train/Image_93.jpg,COMMON WOOD-NYMPH
